node,destination,Lat1,Long1,Lat2,Long2,value
0,1,38.2972,38.2961,38.2986,38.2970,0.17436320312370002
1,2,38.2986,38.2970,38.3009,38.2971,0.2558975165034486
2,3,38.3009,38.2971,38.3031,38.2959,0.266098204664395
3,4,38.3031,38.2959,38.3048,38.2944,0.22992296659299494
4,5,38.3048,38.2944,38.3087,38.2939,0.4358498205048184
5,6,38.3087,38.2939,38.3141,38.2953,0.6127518230793829
6,7,38.3141,38.2953,38.3095,38.2940,0.523922243084827
7,8,38.3095,38.2940,38.3180,38.2957,0.956724958153219
8,9,38.3180,38.2957,38.3175,38.3101,1.2575132560919944
9,10,38.3175,38.3101,38.3225,38.2948,1.445922770149374
10,11,38.3225,38.2948,38.3243,38.2939,0.21499896036555965
11,12,38.3243,38.2939,38.3290,38.2945,0.5252311322373215
12,13,38.3290,38.2945,38.3316,38.2973,0.3784623519220685
13,14,38.3316,38.2973,38.3331,38.2994,0.2477325980646676
14,15,38.3331,38.2994,38.3354,38.3031,0.41177255061573464
15,16,38.3354,38.3031,38.3381,38.3062,0.4040308338427404
16,17,38.3381,38.3062,38.3397,38.3083,0.255339620549775
17,18,38.3397,38.3083,38.3413,38.3106,0.2681239457796144
18,19,38.3413,38.3106,38.3441,38.3125,0.35269507840055553
19,20,38.3441,38.3125,38.3468,38.3140,0.3274875367798122
20,21,38.3468,38.3140,38.3513,38.3146,0.5031060052500554
21,22,38.3513,38.3146,38.3522,38.3167,0.2086835308110722
22,23,38.3522,38.3167,38.3525,38.3160,0.0695607331254298
